year,permit_basis_sv,permit_basis_en,sub_category_sv,sub_category_en,person_type_sv,person_type_en,granted_count
2023,Anknytning*,Family ties,Anhörig till flykting-/asylgrund,Family of refugee/asylum recipient,Vuxen,Adult,1070
2023,Anknytning*,Family ties,Anhörig till flykting-/asylgrund,Family of refugee/asylum recipient,Barn i familj,Child in family,1044
2023,Anknytning*,Family ties,Anhörig till flykting-/asylgrund,Family of refugee/asylum recipient,Ensamkommande barn,Unaccompanied minor,0
2023,Anknytning*,Family ties,Anhörig till flykting-/asylgrund,Family of refugee/asylum recipient,Totalt,Total,2114
2023,Anknytning*,Family ties,Anhörig till övriga,Family of other,Vuxen,Adult,12810
2023,Anknytning*,Family ties,Anhörig till övriga,Family of other,Barn i familj,Child in family,9940
2023,Anknytning*,Family ties,Anhörig till övriga,Family of other,Ensamkommande barn,Unaccompanied minor,9
2023,Anknytning*,Family ties,Anhörig till övriga,Family of other,Totalt,Total,22759
2023,Anknytning*,Family ties,Synnerliga skäl anknytning (5 KAP 3a § 3 st 1 och 3 UTLL),"Exceptional grounds, family ties",Vuxen,Adult,31
2023,Anknytning*,Family ties,Synnerliga skäl anknytning (5 KAP 3a § 3 st 1 och 3 UTLL),"Exceptional grounds, family ties",Barn i familj,Child in family,197
2023,Anknytning*,Family ties,Synnerliga skäl anknytning (5 KAP 3a § 3 st 1 och 3 UTLL),"Exceptional grounds, family ties",Ensamkommande barn,Unaccompanied minor,0
2023,Anknytning*,Family ties,Synnerliga skäl anknytning (5 KAP 3a § 3 st 1 och 3 UTLL),"Exceptional grounds, family ties",Totalt,Total,228
2023,Anknytning*,Family ties,Totalt,Total,Vuxen,Adult,13911
2023,Anknytning*,Family ties,Totalt,Total,Barn i familj,Child in family,11190
2023,Anknytning*,Family ties,Totalt,Total,Ensamkommande barn,Unaccompanied minor,9
2023,Anknytning*,Family ties,Totalt,Total,Totalt,Total,25110
2023,Arbetsmarknad,Labour market,"Anhörig, arbetsmarknad",Family of labour migrant,Vuxen,Adult,6100
2023,Arbetsmarknad,Labour market,"Anhörig, arbetsmarknad",Family of labour migrant,Barn i familj,Child in family,6308
2023,Arbetsmarknad,Labour market,"Anhörig, arbetsmarknad",Family of labour migrant,Ensamkommande barn,Unaccompanied minor,4
2023,Arbetsmarknad,Labour market,"Anhörig, arbetsmarknad",Family of labour migrant,Totalt,Total,12412
2023,Arbetsmarknad,Labour market,Arbetstagare,Employee (work permit),Vuxen,Adult,20822
2023,Arbetsmarknad,Labour market,Arbetstagare,Employee (work permit),Barn i familj,Child in family,1
2023,Arbetsmarknad,Labour market,Arbetstagare,Employee (work permit),Ensamkommande barn,Unaccompanied minor,0
2023,Arbetsmarknad,Labour market,Arbetstagare,Employee (work permit),Totalt,Total,20823
2023,Arbetsmarknad,Labour market,Egen företagare,Self-employed,Vuxen,Adult,140
2023,Arbetsmarknad,Labour market,Egen företagare,Self-employed,Barn i familj,Child in family,1
2023,Arbetsmarknad,Labour market,Egen företagare,Self-employed,Ensamkommande barn,Unaccompanied minor,0
2023,Arbetsmarknad,Labour market,Egen företagare,Self-employed,Totalt,Total,141
2023,Arbetsmarknad,Labour market,Forskare (alla),Researcher (all),Vuxen,Adult,1325
2023,Arbetsmarknad,Labour market,Forskare (alla),Researcher (all),Barn i familj,Child in family,0
2023,Arbetsmarknad,Labour market,Forskare (alla),Researcher (all),Ensamkommande barn,Unaccompanied minor,0
2023,Arbetsmarknad,Labour market,Forskare (alla),Researcher (all),Totalt,Total,1325
2023,Arbetsmarknad,Labour market,"Internationellt utbyte (Artist,Aupair,Praktikant,Ungdomsutbyte)","International exchange (artist, au pair, intern, youth)",Vuxen,Adult,1119
2023,Arbetsmarknad,Labour market,"Internationellt utbyte (Artist,Aupair,Praktikant,Ungdomsutbyte)","International exchange (artist, au pair, intern, youth)",Barn i familj,Child in family,0
2023,Arbetsmarknad,Labour market,"Internationellt utbyte (Artist,Aupair,Praktikant,Ungdomsutbyte)","International exchange (artist, au pair, intern, youth)",Ensamkommande barn,Unaccompanied minor,0
2023,Arbetsmarknad,Labour market,"Internationellt utbyte (Artist,Aupair,Praktikant,Ungdomsutbyte)","International exchange (artist, au pair, intern, youth)",Totalt,Total,1119
2023,Arbetsmarknad,Labour market,Professionell idrottsutövare/tränare,Professional athlete/coach,Vuxen,Adult,501
2023,Arbetsmarknad,Labour market,Professionell idrottsutövare/tränare,Professional athlete/coach,Barn i familj,Child in family,0
2023,Arbetsmarknad,Labour market,Professionell idrottsutövare/tränare,Professional athlete/coach,Ensamkommande barn,Unaccompanied minor,0
2023,Arbetsmarknad,Labour market,Professionell idrottsutövare/tränare,Professional athlete/coach,Totalt,Total,501
2023,Arbetsmarknad,Labour market,Söka arbete eller starta verksamhet,Job-seeker / start business,Vuxen,Adult,183
2023,Arbetsmarknad,Labour market,Söka arbete eller starta verksamhet,Job-seeker / start business,Barn i familj,Child in family,0
2023,Arbetsmarknad,Labour market,Söka arbete eller starta verksamhet,Job-seeker / start business,Ensamkommande barn,Unaccompanied minor,0
2023,Arbetsmarknad,Labour market,Söka arbete eller starta verksamhet,Job-seeker / start business,Totalt,Total,183
2023,Arbetsmarknad,Labour market,Volontär,Volunteer,Vuxen,Adult,10
2023,Arbetsmarknad,Labour market,Volontär,Volunteer,Barn i familj,Child in family,0
